IDCliente,NombreCliente,SKU,Descripción,Grupo_Material_1,Grupo_Vendedores,zona_ventas,Mes_prediccion,Trimestre,Año,cantidad_sugerida,registros_historicos,ultima_compra,promedio_historico
109,MULTICENTRO COMERCIALIZADORA/GIRARD,201386,MACERATA MARFIL 30X60 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,10,4,2025,149.66,4,2025-06-28,170.51
109,MULTICENTRO COMERCIALIZADORA/GIRARD,201386,MACERATA MARFIL 30X60 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,11,4,2025,149.66,4,2025-06-28,170.51
109,MULTICENTRO COMERCIALIZADORA/GIRARD,201386,MACERATA MARFIL 30X60 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,12,4,2025,149.66,4,2025-06-28,170.51
109,MULTICENTRO COMERCIALIZADORA/GIRARD,203040,MARMOL ALBA 30X60 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,10,4,2025,279.45,2,2025-06-28,243.0
109,MULTICENTRO COMERCIALIZADORA/GIRARD,203040,MARMOL ALBA 30X60 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,11,4,2025,279.45,2,2025-06-28,243.0
109,MULTICENTRO COMERCIALIZADORA/GIRARD,203040,MARMOL ALBA 30X60 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,12,4,2025,279.45,2,2025-06-28,243.0
109,MULTICENTRO COMERCIALIZADORA/GIRARD,203061,ITRIA BEIGE 60X60 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,10,4,2025,252.4,4,2025-07-28,197.01
109,MULTICENTRO COMERCIALIZADORA/GIRARD,203061,ITRIA BEIGE 60X60 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,11,4,2025,252.4,4,2025-07-28,197.01
109,MULTICENTRO COMERCIALIZADORA/GIRARD,203061,ITRIA BEIGE 60X60 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,12,4,2025,252.4,4,2025-07-28,197.01
109,MULTICENTRO COMERCIALIZADORA/GIRARD,203080,ITRIA BEIGE 30X60 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,10,4,2025,111.78,2,2025-07-08,97.2
109,MULTICENTRO COMERCIALIZADORA/GIRARD,203080,ITRIA BEIGE 30X60 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,11,4,2025,111.78,2,2025-07-08,97.2
109,MULTICENTRO COMERCIALIZADORA/GIRARD,203080,ITRIA BEIGE 30X60 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,12,4,2025,111.78,2,2025-07-08,97.2
109,MULTICENTRO COMERCIALIZADORA/GIRARD,203149,TORREJON GRIS 30X60 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,10,4,2025,112.71,2,2025-06-20,98.01
109,MULTICENTRO COMERCIALIZADORA/GIRARD,203149,TORREJON GRIS 30X60 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,11,4,2025,112.71,2,2025-06-20,98.01
109,MULTICENTRO COMERCIALIZADORA/GIRARD,203149,TORREJON GRIS 30X60 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,12,4,2025,112.71,2,2025-06-20,98.01
109,MULTICENTRO COMERCIALIZADORA/GIRARD,203150,BARU 30X60 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,10,4,2025,56.82,2,2025-08-14,49.41
109,MULTICENTRO COMERCIALIZADORA/GIRARD,203150,BARU 30X60 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,11,4,2025,56.82,2,2025-08-14,49.41
109,MULTICENTRO COMERCIALIZADORA/GIRARD,203150,BARU 30X60 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,12,4,2025,56.82,2,2025-08-14,49.41
109,MULTICENTRO COMERCIALIZADORA/GIRARD,203152,BROOKLYN 30X60 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,10,4,2025,111.78,2,2025-07-31,97.2
109,MULTICENTRO COMERCIALIZADORA/GIRARD,203152,BROOKLYN 30X60 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,11,4,2025,111.78,2,2025-07-31,97.2
109,MULTICENTRO COMERCIALIZADORA/GIRARD,203152,BROOKLYN 30X60 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,12,4,2025,111.78,2,2025-07-31,97.2
109,MULTICENTRO COMERCIALIZADORA/GIRARD,230015,ADIGIO 58.4X118.4 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,10,4,2025,66.65,2,2025-08-14,57.96
109,MULTICENTRO COMERCIALIZADORA/GIRARD,230015,ADIGIO 58.4X118.4 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,11,4,2025,66.65,2,2025-08-14,57.96
109,MULTICENTRO COMERCIALIZADORA/GIRARD,230015,ADIGIO 58.4X118.4 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,12,4,2025,66.65,2,2025-08-14,57.96
109,MULTICENTRO COMERCIALIZADORA/GIRARD,230021,MORANDI PLOMO 58.4X118.4 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,10,4,2025,163.06,2,2025-08-06,141.79
109,MULTICENTRO COMERCIALIZADORA/GIRARD,230021,MORANDI PLOMO 58.4X118.4 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,11,4,2025,163.06,2,2025-08-06,141.79
109,MULTICENTRO COMERCIALIZADORA/GIRARD,230021,MORANDI PLOMO 58.4X118.4 PRIMERA,Ceramica,GTE. CESAR ARAMENDEZ,0,12,4,2025,163.06,2,2025-08-06,141.79
